L,EE,Set Up Wall Mount 41+
L,EF,Set Up Wall Mount less than 40
L,EJ,Set Up TV on Stand
L,EO,Set Up Surround Sound
L,EQ,Set Up Surround Sound In Wall
L,ES,Set Up 2 Speakers
L,EW,Set Up TV/Component to Internet
L,EX,Set Up Additional Wires
L,F;,Screen Cleaner with Cloth
E,1036,Screen Cleaner with Cloth DN000128
L,EM,Set Up Wireless Network
E,1038,Wireless Network 180635
L,JL,Set Up HDMI Cable - 8 feet
E,1039,HDMI - 8 feet DN000731
L,G#,Set Up HDMI Cable - 15 feet
E,1040,HDMI - 15 feet 191411
L,G-,Set Up HDMI Cable - 30 feet
E,1041,HDMI - 30 feet 191412
L,-G,Set Up Optical Cable - 6 feet
E,1042,Optical Cable 6 feet 191413
L,FY,Set Up Optical Cable - 12 feet
E,1043,Optical Cable 12 feet 191414
L,J/,Set Up Surge Protector - GE 10 Outlet
E,1044,Surge Protector - GE 10 Outlet DN004340
L,J*,Set Up Polk SmartBar
E,1045,Polk SmartBar System DN004178 DN004179
L,J.,Set up Power Relocation Kit
E,1046,Power Relocation Kit DN000722
L,C*,Set Up TV Full Motion Bracket less than 32in
E,1047,TV Full Motion Bracket less than 32in 191416
L,G(,Set Up TV Tilt Bracket 24in - 42in
E,1048,TV Tilt Bracket 24in - 42in 191417
L,G$,Set Up TV Tilt Bracket 43in - 80in
E,1049,TV Tilt Bracket 43in - 80in 191418
L,JM,Set Up TV Full Motion Bracket 56in - 70in
E,1050,TV Full Motion Bracket 56in - 70in DN000732
L,FX,Set Up Speaker Bracket - Single
E,1051,Speaker Bracket - Single 191415
L,V{,Set Up Tailgater
E,1053,Tailgater 187776
L,TI,Set Up HDMI Cable - 2M (6 ft) Audioquest
E,1054, HDMI Cable - 2M (6 ft) Audioquest DN003966
L,TF,Set Up External Hard Drive - 1TB
E,1056,External Hard Drive - 1TB DN004408
L,-J,Tune-Up TV
L,T3,HarmonyUltimate Remote
L,T5,Harmony Setup
L,XN,TV Full Motion Bracket 32in - 55in
E,1059,TV Full Motion Bracket 32in - 55in DN003965
L,JI,Set Up WiFi Range Extender
E,DB3,Remote Control - 21.1 (622/722) 180531
E,DB4,Remote Control - 32.0 (922) 176805
E,DB5,Remote Control - Hopper/Joey 192094
L,TC,Set Up Bluetooth Headphones - Red
E,1055,Bluetooth Headphones - Red DN004115
L,32,Set Up Bluetooth Headphones - Black
E,1057,Bluetooth Headphones - Black DN004832
L,35,Set Up Bluetooth Headphones - White
E,1058,Bluetooth Headphones - White DN004833
L,EC8,Install Ethernet Over Power
L,EC3,Megajam BT Speaker - Black
E,1082,Megajam BT Speaker - Black DN005437
L,EC4,Megajam BT Speaker - White
L,3*,Premium Surge Protector
L,EB4,Set Up HDMI Corner - Audioquest
E,1076,HDMI Corner - Audioquest DN005317
L,EB7,Set Up Hopper Remote Skin - Blue
E,1077,Hopper Remote Skin - Blue DN005439
L,EB8,Set Up Hopper Remote Skin - Green
E,1078,Hopper Remote Skin - Green DN005440
L,EB9,Set Up Hopper Remote Skin - Pink GID
E,1079,Hopper Remote Skin - Pink GID DN005441
L,EC1,Set Up Hopper Remote Skin - Yellow GID
E,1080,Hopper Remote Skin - Yellow GID DN005442
L,EE7,Set Up TV Installation w/ Bracket
E,1062,TV Installation w/ Bracket DN003965
L,EE8,Set Up Full Motion Upgrade
E,1064,Full Motion Upgrade DN000732
L,EF1,Set Up Power Relocation Upgrade
E,1063,Power Relocation Upgrade
L,EF3,Set Up Joey Bluetooth Adapter
E,1061,Joey Bluetooth Adapter 204689
L,EF6,Set Up Headphones - Bears
E,1068,Headphones - Bears DN006170
L,EF8,Set Up Headphones - Broncos
E,1069,Headphones - Broncos DN006172
L,EG1,Set Up Headphones - Cowboys
E,1070,Headphones - Cowboys DN006174
L,EG4,Set Up Headphones - Patriots
E,1071,Headphones - Patriots DN006171
L,EG6,Set Up Headphones - Seahawks
E,1072,Headphones - Seahawks DN006173
L,EG3,Set Up Smart Bar
E,1066,Smart Bar DN006087
L,EG8,Set Up Headphones -OH State Buckeyes
L,EH1,Set Up Headphones - TN Vols
L,EH3,Set Up Headphones - TX Longhorns
L,EH8,Set Up Smart Woofer
E,1067,Smart Woofer DN006088
L,EM5,Set Up Hopper Remote Skin - Red
E,1081,Hopper Remote Skin - Red DN006554
L,EV5,Set Up Tailgater 2 Antenna
E,1083,Tailgater 2 208477
L,EK1,Set Up Premium Wireless Network
E,1084,Premium Wireless - Dlink 868 Router DN006283
L,EO2,Set Up Bluetooth Speaker Boom Duo
E,1085,Bluetooth Speaker Boom Duo